scenario,origin_lat,origin_lon,dest_name,dest_lat,dest_lon,shortest_path,shortest_length_ft,shortest_length_m,shortest_shade,shadiest_path,shadiest_length_ft,shadiest_length_m,shadiest_shade,length_increase_m,length_increase_pct,shade_improvement,shade_improvement_pct,efficiency,route_name
summer_morning,39.9522,-75.195,40th St,39.957117,-75.201963,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 1684021492, 360347795, 4682320385, 109986319, 360477527, 1155472924, 1155472910, 360477563, 1658147652, 360477055, 7874128487, 7874128490, 4476162739, 109987975, 4476162741, 12400844065, 7202429868, 4476162826, 7202429871, 4476162843, 7202429872, 4477334071, 109813544]",1103.173,336.2471304,0.5791264640724902,"[110142290, 360480642, 2011484566, 2011484572, 3272478890, 7918772086, 4550404641, 4477512925, 8110054802, 4477512929, 8110054801, 7918772098, 7918772099, 7918772100, 7918772097, 4476162727, 4476162728, 11108253423, 7917327490, 7917327492, 7917315383, 4476162733, 7917315382, 11108253416, 11108253426, 2129462730, 11108152866, 11108152867, 12566704160, 12566704167, 4476162830, 12566704170, 4476162843, 7202429872, 4477334071, 109813544]",1129.4730000000002,344.2633704000001,0.7109932195654866,8.016240000000057,2.384032241543274,0.1318667554929963,22.76994122590991,0.016449951036021298,Penn to 40th St
summer_midday,39.9522,-75.195,40th St,39.957117,-75.201963,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 1684021492, 360347795, 4682320385, 109986319, 360477527, 1155472924, 1155472910, 360477563, 1658147652, 360477055, 7874128487, 7874128490, 4476162739, 109987975, 4476162741, 12400844065, 7202429868, 4476162826, 7202429871, 4476162843, 7202429872, 4477334071, 109813544]",1103.173,336.2471304,0.4431797316919499,"[110142290, 360480642, 2011484566, 2011484572, 3272478890, 7918772086, 7918772093, 7918772087, 7918772092, 7918772096, 7409074662, 7918745672, 4476162723, 7918772097, 4476162727, 4476162728, 11108253423, 11108253424, 4476162748, 11108253425, 11108152876, 11108152873, 11108152874, 11874282257, 11108152875, 11108152869, 11108152863, 11108152862, 10241678581, 5886328379, 11108152855, 12566704170, 4476162843, 7202429872, 4477334071, 109813544]",1129.2740000000001,344.20271520000006,0.5738465398525767,7.955584800000035,2.3659933664076362,0.1306668081606268,29.483931420278058,0.016424538414903985,Penn to 40th St
summer_evening,39.9522,-75.195,40th St,39.957117,-75.201963,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 1684021492, 360347795, 4682320385, 109986319, 360477527, 1155472924, 1155472910, 360477563, 1658147652, 360477055, 7874128487, 7874128490, 4476162739, 109987975, 4476162741, 12400844065, 7202429868, 4476162826, 7202429871, 4476162843, 7202429872, 4477334071, 109813544]",1103.173,336.2471304,0.512627523259581,"[110142290, 360480642, 2011484566, 2011484572, 3272478890, 7918772086, 7918772093, 7918772087, 7918772092, 7918772096, 7918772095, 12228584107, 7918772100, 7918772097, 4476162727, 4476162728, 11108253423, 7917327490, 7917327492, 7917315383, 4476162733, 7917315382, 11108253416, 12566704158, 4476162765, 12566704160, 12566704167, 4476162830, 12566704170, 4476162843, 7202429872, 4477334071, 109813544]",1129.387,344.2371576,0.6481475434117808,7.990027199999982,2.3762365467610196,0.13552002015219977,26.436352712879213,0.016961146283982622,Penn to 40th St
winter_morning,39.9522,-75.195,40th St,39.957117,-75.201963,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 1684021492, 360347795, 4682320385, 109986319, 360477527, 1155472924, 1155472910, 360477563, 1658147652, 360477055, 7874128487, 7874128490, 4476162739, 109987975, 4476162741, 12400844065, 7202429868, 4476162826, 7202429871, 4476162843, 7202429872, 4477334071, 109813544]",1103.173,336.2471304,0.6092284296391899,"[110142290, 360480642, 2011484566, 2011484572, 3272478890, 7918772086, 7918772093, 7918772087, 7918772092, 4477512926, 8110054801, 7918772098, 7918772101, 7918772103, 7918772102, 11108253435, 11384046999, 11108253433, 8110066869, 11108253436, 4476162782, 4476162785, 11108152879, 11108253429, 11108152880, 2129462748, 5562229019, 4476162809, 11108152857, 4476162818, 11108152853, 11108152854, 11108152855, 12566704170, 4476162843, 7202429872, 4477334071, 109813544]",1126.4440000000002,343.3401312000001,0.6722368781319641,7.093000800000057,2.1094606195039387,0.0630084484927742,10.342335555497698,0.008883186435390463,Penn to 40th St
winter_midday,39.9522,-75.195,40th St,39.957117,-75.201963,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 1684021492, 360347795, 4682320385, 109986319, 360477527, 1155472924, 1155472910, 360477563, 1658147652, 360477055, 7874128487, 7874128490, 4476162739, 109987975, 4476162741, 12400844065, 7202429868, 4476162826, 7202429871, 4476162843, 7202429872, 4477334071, 109813544]",1103.173,336.2471304,0.5941182707831487,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 3370981305, 7409074662, 7918745672, 4476162723, 7918772097, 7918772192, 7918772191, 7918772189, 4476162745, 7918772190, 11108253431, 11108253436, 4476162782, 4476162785, 11108152879, 11108253429, 11108152880, 11108152881, 11108152882, 11108152872, 4476162809, 11108152857, 4476162818, 11108152853, 11108152854, 11108152855, 12566704170, 4476162843, 7202429872, 4477334071, 109813544]",1139.8600000000004,347.4293280000001,0.7222342702586414,11.182197600000109,3.3255890055322554,0.12811599947549268,21.56405648097879,0.011457139648068054,Penn to 40th St
winter_evening,39.9522,-75.195,40th St,39.957117,-75.201963,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 1684021492, 360347795, 4682320385, 109986319, 360477527, 1155472924, 1155472910, 360477563, 1658147652, 360477055, 7874128487, 7874128490, 4476162739, 109987975, 4476162741, 12400844065, 7202429868, 4476162826, 7202429871, 4476162843, 7202429872, 4477334071, 109813544]",1103.173,336.2471304,0.3755392853160837,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 1684021492, 360347795, 4682320385, 109986319, 360477527, 1155472924, 1155472910, 360477563, 1658147652, 360477055, 7874128487, 1155472629, 4476162739, 7917327493, 4476162741, 12400844065, 7202429868, 4476162826, 7202429871, 4476162843, 7202429872, 4477334071, 109813544]",1104.242,336.5729616,0.38632437454833274,0.32583119999998783,0.09690229909542383,0.010785089232249023,2.8718937416018764,0.03310023482174029,Penn to 40th St
spring_midday,39.9522,-75.195,40th St,39.957117,-75.201963,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 1684021492, 360347795, 4682320385, 109986319, 360477527, 1155472924, 1155472910, 360477563, 1658147652, 360477055, 7874128487, 7874128490, 4476162739, 109987975, 4476162741, 12400844065, 7202429868, 4476162826, 7202429871, 4476162843, 7202429872, 4477334071, 109813544]",1103.173,336.2471304,0.5935884903982729,"[110142290, 360480642, 2011484566, 2011484572, 3272478890, 7918772086, 7918772093, 4477512925, 8110054802, 8110054798, 11108334657, 7918772101, 11108334659, 11205534337, 7918772189, 4476162745, 7918772190, 11108253431, 11108253436, 4476162782, 4476162785, 11108152879, 11108253429, 11108152880, 11108152881, 11108152882, 11108152872, 4476162809, 11108152857, 9510717780, 4476162882, 4476162883, 4476162886, 3563991817, 5886328380, 3563991819, 5562229012, 4476163014, 7202429872, 4477334071, 109813544]",1126.2960000000003,343.2950208000001,0.6976819469711619,7.047890400000084,2.0960447726694067,0.10409345657288904,17.536299685165176,0.014769448822996424,Penn to 40th St
fall_midday,39.9522,-75.195,40th St,39.957117,-75.201963,"[110142290, 360481965, 2011484562, 1769666654, 110153566, 2009387998, 3370981304, 1684021492, 360347795, 4682320385, 109986319, 360477527, 1155472924, 1155472910, 360477563, 1658147652, 360477055, 7874128487, 7874128490, 4476162739, 109987975, 4476162741, 12400844065, 7202429868, 4476162826, 7202429871, 4476162843, 7202429872, 4477334071, 109813544]",1103.173,336.2471304,0.5798922138928649,"[110142290, 360480642, 2011484566, 2011484572, 3272478890, 7918772086, 7918772093, 4477512925, 8110054802, 8110054798, 11108334657, 7918772101, 11108334659, 11205534337, 7918772189, 4476162745, 7918772190, 11108253431, 11108253436, 4476162782, 4476162785, 11108152879, 11108253429, 11108152880, 2129462748, 5562229019, 4476162809, 11108152857, 9510717780, 4476162882, 4476162883, 4476162886, 3563991817, 5886328380, 3563991819, 5562229012, 4476163014, 7202429872, 4477334071, 109813544]",1127.6200000000003,343.6985760000001,0.6909364038408126,7.451445600000105,2.216062213270298,0.11104418994794762,19.14910862529067,0.014902368736067274,Penn to 40th St
summer_morning,39.957,-75.189,34th St,39.95583,-75.19148,"[4696697615, 4696697614, 109780098, 534047691, 2451235644, 4161472985, 3413844293, 4161472991, 2699560200]",325.90000000000003,99.33432000000002,0.44948797744732794,"[4696697615, 4696697614, 109780098, 534047691, 2451235644, 4161472985, 8110054750, 8110054756, 4161472990, 4161472991, 2699560200]",326.3,99.45624000000001,0.7913940175318879,0.12191999999999308,0.12273703590057602,0.34190604008455994,76.06566965956844,2.80434744163861,Drexel to 34th St
summer_midday,39.957,-75.189,34th St,39.95583,-75.19148,"[4696697615, 4696697614, 109780098, 534047691, 2451235644, 4161472985, 3413844293, 4161472991, 2699560200]",325.90000000000003,99.33432000000002,0.159737992068762,"[4696697615, 4696697614, 4696697619, 4696697572, 7835909949, 4161472987, 2451235644, 4161472985, 8110054750, 8110054756, 4161472990, 4161472991, 2699560200]",329.0230000000001,100.28621040000003,0.4989260857697278,0.9518904000000145,0.9582694077938162,0.3391880937009658,212.34027629128855,0.3563310373767407,Drexel to 34th St
